id,,brand,title,description,availability,condition,price,link,image_link,images_link,video_link,google_product_category,fb_product_category,sale_price
11,KTGAC1,Boom Box,BM 222,"Product details of Boom Multimedia USB Speaker BM333
USB power supply
Power : 3W * 2
Jack connection : 3.5
High performance
Good quality l
AC/DC Powered Supported
Amazing Sound
Beautiful Design
USB-Powered
Easily connected to the laptop/netbook/mp3/the psp/cd and other various sources ,anywhere to enjoy music .
Plastic material
Channels: 2.0 (2.0)",in stock,new,NPR 949.00,http://ktg.aaja.co/,KTGAC1_C1.jpg,KTGAC1_D1.jpg~KTGAC1_D2.jpg~KTGAC1_D3.jpg,0TzAVH0F86M,Electronics > Electronics Accessories > Computer Accessories,,
12,KTGAC2,Boom Box,BM 333,"Product details of Boom Multimedia USB Speaker BM333
USB power supply
Power : 3W * 2
Jack connection : 3.5
High performance
Good quality l
AC/DC Powered Supported
Amazing Sound
Beautiful Design
USB-Powered
Easily connected to the laptop/netbook/mp3/the psp/cd and other various sources ,anywhere to enjoy music .
Plastic material
Channels: 2.0 (2.0)",in stock,new,NPR 799.00,http://ktg.aaja.co/,KTGAC2_C1.jpg,KTGAC2_D1.jpg~KTGAC2_D2.jpg~KTGAC2_D3.jpg,0TzAVH0F86M,Electronics > Electronics Accessories > Computer Accessories,,
13,KTGAC3,Boom Box,BM 444,"Product details of Boom Multimedia USB Speaker BM333
USB power supply
Power : 3W * 2
Jack connection : 3.5
High performance
Good quality l
AC/DC Powered Supported
Amazing Sound
Beautiful Design
USB-Powered
Easily connected to the laptop/netbook/mp3/the psp/cd and other various sources ,anywhere to enjoy music .
Plastic material
Channels: 2.0 (2.0)",in stock,new,NPR 649.00,http://ktg.aaja.co/,KTGAC3_C1.jpg,KTGAC3_D1.jpg~KTGAC3_D2.jpg~KTGAC3_D3.jpg,0TzAVH0F86M,Electronics > Electronics Accessories > Computer Accessories,,
14,KTGAC4,Boom Box,BM 555,"Product details of Boom Multimedia USB Speaker BM333
USB power supply
Power : 3W * 2
Jack connection : 3.5
High performance
Good quality l
AC/DC Powered Supported
Amazing Sound
Beautiful Design
USB-Powered
Easily connected to the laptop/netbook/mp3/the psp/cd and other various sources ,anywhere to enjoy music .
Plastic material
Channels: 2.0 (2.0)",in stock,new,NPR 749.00,http://ktg.aaja.co/,KTGAC4_C1.jpg,KTGAC4_D1.jpg~KTGAC4_D2.jpg~KTGAC4_D3.jpg,0TzAVH0F86M,Electronics > Electronics Accessories > Computer Accessories,,
15,KTGAC5,Boom Box,Monster Headphone,Monster Headphone,in stock,new,NPR 2400.00,http://ktg.aaja.co/,KTGAC5_C1.jpg,KTGAC5_D1.jpg~KTGAC5_D2.jpg~KTGAC5_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
16,KTGAD1,Nexgen,Type C Hub (10 in 1),Type C Hub (10 in 1),in stock,new,NPR 4599.00,http://ktg.aaja.co/,KTGAD1_C1.jpg,KTGAD1_D1.jpg~KTGAD1_D2.jpg~KTGAD1_D3.jpg,Z4egTkJevuU,Electronics > Electronics Accessories > Computer Accessories,,
17,KTGAD2,Nexgen,Type C Hub (5 in 1),Type C Hub (5 in 1),in stock,new,NPR 3699.00,http://ktg.aaja.co/,KTGAD2_C1.jpg,KTGAD2_D1.jpg~KTGAD2_D2.jpg~KTGAD2_D3.jpg,Z4egTkJevuU,Electronics > Electronics Accessories > Computer Accessories,,
18,KTGAD3,Nexgen,Type C Hub (4 in 1),Type C Hub (4 in 1),in stock,new,NPR 2699.00,http://ktg.aaja.co/,KTGAD3_C1.jpg,KTGAD3_D1.jpg~KTGAD3_D2.jpg~KTGAD3_D3.jpg,Z4egTkJevuU,Electronics > Electronics Accessories > Computer Accessories,,
19,KTGAD4,Nexgen,Type C Hub (3 in 1) and Ethernet,Type C Hub (3 in 1) and Ethernet,in stock,new,NPR 1599.00,http://ktg.aaja.co/,KTGAD4_C1.jpg,KTGAD4_D1.jpg~KTGAD4_D2.jpg~KTGAD4_D3.jpg,Z4egTkJevuU,Electronics > Electronics Accessories > Computer Accessories,,
20,KTGAD5,Nexgen,Type C to HDMI USB Type C,Type C to HDMI USB Type C,in stock,new,NPR 1299.00,http://ktg.aaja.co/,KTGAD5_C1.jpg,KTGAD5_D1.jpg~KTGAD5_D2.jpg~KTGAD5_D3.jpg,Z4egTkJevuU,Electronics > Electronics Accessories > Computer Accessories,,
